,,answer_predicate,answer_predicate,answer_predicate,z,z,z,evidence,evidence,evidence,reason,reason,reason
HW_LO_027,reverse-c,no,no,yes,,,,[],[],[3],,,'promote' => 'make the best of'
HW_LO_027,trans1,no,no,yes,,,get behind,[],[],[],,,"Homework promotes understanding, so that would suppress get behind. If someone were to get behind, then their free time would be suppressed because they would use more time to catch up."
HW_LO_027,trans2,no,no,yes,,,accumulation of understanding,[],[],[],,,See previous reasoning.
HW_LO_027,x-pro-z,yes,yes,yes,establish the basic foundation of studying because homework is a good guideline of what we should review and study,establish the basic foundation of studying,establish the basic foundation of studying,[],[],[],,,
HW_LO_027,x-sup-z,yes,yes,yes,catching up classes is difficult,get behind,get behind,[],[],[],,,
HW_LO_027,y-pro-opposite-z,no,no,no,,,,[],[],[],,,
HW_LO_027,y-sup-same-z,no,no,no,,,,[],[],[],,,
HW_LO_031,ack-c,no,yes,yes,,,,[],"[3, 10]",[3],Not mentioned,"The sentences selected imply that ""No HW does give you more FT"" which implies ""HW reduces FT""",'If they have free time' implies that they currently don't due to homework.
HW_LO_031,ano-z,no,no,yes,,,"play with their friends, play video game, and watching YouTube",[],[],[],,,
HW_LO_031,deny-c,no,no,no,,,,[],[],[],,,
HW_LO_031,miti,no,no,no,,,,[],[],[],,,
HW_LO_031,no-evi,no,no,no,,,,[],[],[],,,
HW_LO_031,no-need-address,no,no,yes,,,,[],[],"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",,,This CA gives me the impression that free time is currently not a problem.
HW_LO_031,reverse-c,no,no,no,,,,[],[],[],,,
HW_LO_031,trans1,no,no,yes,,,consume their time meaninglessly,[],[],[],,,
HW_LO_031,trans2,no,no,yes,,,studying time,[],[],[],,,
HW_LO_031,x-pro-z,yes,yes,yes,"high academic skill, get college degree",future,studying time,[],[],[],,,
HW_LO_031,x-sup-z,no,no,yes,,,consume their time meaninglessly,[],[],[],,,
HW_LO_031,y-pro-opposite-z,yes,yes,yes,"play with their friends, play video game, and watching YouTube","play with their friends, play video game, and watching YouTube",consume their time meaninglessly,[],[],[],,,
HW_LO_031,y-sup-same-z,no,yes,yes,,future,studying time,[],[],[],,,
HW_LO_042,ack-c,yes,yes,no,,,,[2],[5],[],,"5 sort of implies that ""HW and other activities both reduce free time, but you should prioritize HW""",CA doesn't talk about free time.
HW_LO_042,ano-z,yes,yes,no,playing with friends,other activities such as playing with friends,,[],[],[],,"Other activities also reduce free time, so students should prioritize HW",CA doesn't talk about free time.
HW_LO_042,deny-c,no,no,no,,,,[],[],[],,,CA doesn't talk about free time.
HW_LO_042,miti,yes,yes,no,reduce the amount,reduce the amount,,[],[],[],they or their parents will likely complain about it,,CA doesn't talk about free time.
HW_LO_042,no-evi,no,no,no,,,,[],[],[],,,CA doesn't talk about free time.
HW_LO_042,no-need-address,no,no,no,,,,[],[],[],,,CA doesn't talk about free time.
HW_LO_042,reverse-c,no,no,no,,,,[],[],[],,,CA doesn't talk about free time.
HW_LO_042,trans1,no,no,no,,,,[],[],[],,,CA doesn't talk about free time.
HW_LO_042,trans2,no,no,no,,,,[],[],[],,,CA doesn't talk about free time.
HW_LO_042,x-pro-z,yes,yes,yes,studying materials to acquire the basic knowledge we learn in school,acquire the basic knowledge we learn in school,acquire the basic knowledge we learn in school,[],[],[],,,
HW_LO_042,x-sup-z,no,no,no,,,,[],[],[],,,
HW_LO_042,y-pro-opposite-z,no,no,no,,,,[],[],[],,,CA doesn't talk about free time.
HW_LO_042,y-sup-same-z,no,no,no,,,,[],[],[],,,CA doesn't talk about free time.
HW_LO_047,ack-c,yes,yes,yes,,,,[1],[3],[3],,Currently it does take 3 hours to finish HW,Reduces free time by 3 hours.
HW_LO_047,ano-z,no,yes,yes,,the quantity of homework,quantity of homework,[],[],[],,,"Kind of difficult. I take 'existence of homework' to mean 'homework' in general, thus 'quantity of homework' being different than homework."
HW_LO_047,deny-c,no,yes,no,,,,[],[1],[],,"""homework itself"" does not suppress free time but ""the amount of homework"" does",
HW_LO_047,miti,yes,yes,yes, reducing the amount of homework,reducing the amount of homework to one-third,reducing the amount of homework to one-third,[],[],[],,,Future action.
HW_LO_047,no-evi,no,no,no,,,,[],[],[],,,
HW_LO_047,no-need-address,no,no,no,,,,[],[],[],,,
HW_LO_047,reverse-c,no,no,no,,,,[],[],[],,,
HW_LO_047,trans1,no,no,no,,,,[],[],[],,,
HW_LO_047,trans2,no,no,no,,,,[],[],[],,,
HW_LO_047,x-pro-z,no,no,no,,,,[],[],[],,,
HW_LO_047,x-sup-z,no,no,no,,,,[],[],[],,,
HW_LO_047,y-pro-opposite-z,no,no,no,,,,[],[],[],,,
HW_LO_047,y-sup-same-z,no,no,no,,,,[],[],[],,,
HW_LO_049,ack-c,yes,yes,yes,,,,[3],[3],[3],,3 implies that HW does take up time (study time),
HW_LO_049,ano-z,yes,yes,yes, tennis school and cram school,doing what we are really wanted,"club activities, hobby, or playing with friends",[],[],[],,,
HW_LO_049,deny-c,no,no,no,,,,[],[],[],,,
HW_LO_049,miti,no,no,yes,,,reducing this time by two hours to three hours,[],[],[],,,The CA is proposing a future action of reducing time for activities as a means to have more time for things like sleep.
HW_LO_049,no-evi,no,no,no,,,,[],[],[],,,
HW_LO_049,no-need-address,no,no,no,,,,[],[],[],,,"I want to say 'free time is not the problem', but what I understand from the CA is that free time will promote tennis school, etc., which still needs to be addressed."
HW_LO_049,reverse-c,no,no,no,,,,[],[],[],,,
HW_LO_049,trans1,no,no,no,,,,[],[],[],,,
HW_LO_049,trans2,no,no,no,,,,[],[],[],,,
HW_LO_049,x-pro-z,no,no,yes,,,Studying,[],[],[],,,
HW_LO_049,x-sup-z,no,no,yes,,,do what they want to do,[],[],[],,,Bad in the context of the CA (in comparison to homework)
HW_LO_049,y-pro-opposite-z,no,no,yes,,,tennis school,[],[],[],,,
HW_LO_049,y-sup-same-z,no,no,yes,,,Studying,[],[],[],,,
HW_LO_050,ack-c,yes,yes,yes,,,,[3],[3],[3],Implicitly acknowledging,,
HW_LO_050,ano-z,yes,yes,yes,cram schools,supplement schools,cram schools,[],[],[],,,
HW_LO_050,deny-c,no,no,no,,,,[],[],[],,,
HW_LO_050,miti,no,no,no,,,,[],[],[],,,
HW_LO_050,no-evi,no,no,no,,,,[],[],[],,,
HW_LO_050,no-need-address,no,no,no,,,,[],[],[],,,
HW_LO_050,reverse-c,no,no,no,,,,[],[],[],,,
HW_LO_050,trans1,no,no,no,,,,[],[],[],,,
HW_LO_050,trans2,no,no,no,,,,[],[],[],,,
HW_LO_050,x-pro-z,no,no,no,,,,[],[],[],,,'Studying at school' doesn't sound like homework.
HW_LO_050,x-sup-z,no,no,no,,,,[],[],[],,,
HW_LO_050,y-pro-opposite-z,no,no,no,,,,[],[],[],,,
HW_LO_050,y-sup-same-z,no,no,no,,,,[],[],[],,,
HW_LO_055,ack-c,yes,yes,yes,,,,[2],[1],"[1, 2, 3, 4]",,1 implies that students do have more free time if homework is abolished. But they cannot use that free time for study,"My impression is that it does reduce free time, but this CA is arguing that homework is actually better than other activities that take up free time (watching TV, etc.)"
HW_LO_055,ano-z,no,no,yes,,,"TV, playing games, and so on",[],[],[],,,
HW_LO_055,deny-c,no,no,no,,,,[],[],[],,,
HW_LO_055,miti,no,no,no,,,,[],[],[],,,
HW_LO_055,no-evi,no,no,no,,,,[],[],[],,,
HW_LO_055,no-need-address,yes,no,yes,,,,[5],[],[1],,,Free time is not the problem. It's what the students due during free time that is the problem.
HW_LO_055,reverse-c,no,no,yes,,,,[],[],"[1, 2, 3, 4]",,,"My understanding of the CA is that TV, etc. would suppress free time (i.e., not good), but homework makes the best of free time."
HW_LO_055,trans1,no,yes,yes,,"waste things such watching TV, playing games","watching TV, playing games, and so on",[],[],[],,"""waste things such watching TV, playing games"" suppress free time, but if you have HW, you don't have time to do these waste things",
HW_LO_055,trans2,no,no,yes,,,can help them to study and prolong their understanding,[],[],[],,,'promotes free time' in this CA feels more like 'makes the best out of free time'.
HW_LO_055,x-pro-z,yes,yes,yes,help them to study and prolong their understanding,help them to study and prolong their understanding,students,[],[],[],,,
HW_LO_055,x-sup-z,no,no,yes,,,"waste things such watching TV, playing games, and so on",[],[],[],,,
HW_LO_055,y-pro-opposite-z,yes,yes,yes,"waste things such watching TV, playing games","waste things such watching TV, playing games","watching TV, playing games, and so on",[],[],[],,,
HW_LO_055,y-sup-same-z,no,yes,yes,,study,students,[],[],[],,,
HW_LO_056,ack-c,no,no,no,,,,[],[],[],Not mentioned,,I don't see this CA talking about 'free time' related to homework. 
HW_LO_056,ano-z,no,no,no,,,,[],[],[],,,
HW_LO_056,deny-c,no,no,no,,,,[],[],[],,,
HW_LO_056,miti,no,no,no,,,,[],[],[],,,
HW_LO_056,no-evi,no,no,no,,,,[],[],[],,,
HW_LO_056,no-need-address,no,no,no,,,,[],[],[],,,
HW_LO_056,reverse-c,no,no,no,,,,[],[],[],,,
HW_LO_056,trans1,no,no,no,,,,[],[],[],,,
HW_LO_056,trans2,no,no,no,,,,[],[],[],,,
HW_LO_056,x-pro-z,yes,yes,yes,students can know substances of next class in advance,supporting students,students can know substances of next class in advance,[],[],[],,,
HW_LO_056,x-sup-z,yes,yes,yes,decline of students' study ability,study ability will decline,study ability will decline,[],[],[],,,
HW_LO_056,y-pro-opposite-z,no,no,no,,,,[],[],[],,,
HW_LO_056,y-sup-same-z,no,no,no,,,,[],[],[],,,
HW_LO_057,ack-c,no,no,no,,,,[],[],[],,,time management reduces free time
HW_LO_057,ano-z,yes,yes,yes,time management,their time management,time management,[],[],[],,,
HW_LO_057,deny-c,yes,yes,yes,,,,"[6, 7]","[2, 6, 7]","[2, 6, 7]",Sleep time is considered to be used with the same meaning as free time.,,
HW_LO_057,miti,no,no,no,,,,[],[],[],,,
HW_LO_057,no-evi,no,no,no,,,,[],[],[],,,
HW_LO_057,no-need-address,no,no,yes,,,,[],[],"[1, 8]",,,"'Irrelevant' (i.e., not important), thus criteria 3."
HW_LO_057,reverse-c,no,no,no,,,,[],[],[],,,
HW_LO_057,trans1,no,no,no,,,,[],[],[],,,"I get the impression that time management is not being related to homework in this CA, thus leaving as 'NO'"
HW_LO_057,trans2,no,no,no,,,,[],[],[],,,
HW_LO_057,x-pro-z,no,no,no,,,,[],[],[],,,
HW_LO_057,x-sup-z,no,no,no,,,,[],[],[],,,
HW_LO_057,y-pro-opposite-z,no,no,no,,,,[],[],[],,,
HW_LO_057,y-sup-same-z,no,no,no,,,,[],[],[],,,
HW_LO_060,ack-c,no,no,yes,,,,[],[],"[2, 3, 4, 5, 6, 7, 8]",Not mentioned,,"Somewhat difficult, as the CA isn't talking about homework explicitly until the last sentence, but it seems that they are acknowledging that free time is reduced."
HW_LO_060,ano-z,no,no,no,,,,[],[],[],,,
HW_LO_060,deny-c,no,no,no,,,,[],[],[],,,
HW_LO_060,miti,no,no,no,,,,[],[],[],,,
HW_LO_060,no-evi,no,no,no,,,,[],[],[],,,
HW_LO_060,no-need-address,no,no,yes,,,,[],[],[3],,,"If 'free time', then 'bad thing occur'. This, it feels like scenario 3."
HW_LO_060,reverse-c,no,no,no,,,,[],[],[],,,
HW_LO_060,trans1,no,no,yes,,,very difficult to keep track of everything,[],[],[],,,
HW_LO_060,trans2,no,no,yes,,,figure out which areas they are having trouble with,[],[],[],,,'promote' => 'make the best of'
HW_LO_060,x-pro-z,no,no,yes,,,students,[],[],[],,,
HW_LO_060,x-sup-z,yes,no,yes,difficult to keep track of everything,,not be able to figure out which areas they are having trouble with at the moment,[],[],[],,,
HW_LO_060,y-pro-opposite-z,yes,yes,yes,difficult to keep track of everything,keep track of everything,difficult to keep track of everything,[],[],[],,,
HW_LO_060,y-sup-same-z,no,yes,yes,,solving this problem,students,[],[],[],,,
HW_LO_076,ack-c,yes,yes,yes,,,,[2],[2],[2],Implicitly acknowledge,2 implies that free time will be reduced if we do HW. ,
HW_LO_076,ano-z,no,no,yes,,,outside activities,[],[],[],,,
HW_LO_076,deny-c,no,no,no,,,,[],[],[],,,
HW_LO_076,miti,no,no,no,,,,[],[],[],,,
HW_LO_076,no-evi,no,no,no,,,,[],[],[],,,
HW_LO_076,no-need-address,no,no,yes,,,,[],[],[2],,,This sentence gives me the impression that free time isn't a problem.
HW_LO_076,reverse-c,no,no,no,,,,[],[],[],,,"Doesn't seem it says directly promote, but it looks as though it does indirectly."
HW_LO_076,trans1,no,no,no,,,,[],[],[],,,
HW_LO_076,trans2,no,no,yes,,,establishment of a good routine of handling responsibility,[],[],[],,,
HW_LO_076,x-pro-z,yes,yes,yes,self discipline,self discipline,teaching self discipline,[],[],[],,,
HW_LO_076,x-sup-z,no,no,no,,,,[],[],[],,,
HW_LO_076,y-pro-opposite-z,no,no,no,,,,[],[],[],,,
HW_LO_076,y-sup-same-z,no,no,yes,,,establishment of a good routine of handling responsibility,[],[],[],,,
HW_LO_078,ack-c,no,yes,yes,,,,[],[5],"[1, 2, 3, 4, 5]",Not mentioned,,
HW_LO_078,ano-z,no,no,yes,,,The weekends,[],[],[],,,"Low confidence on this annotation, as 'should' could imply it's currently not the case."
HW_LO_078,deny-c,no,no,yes,,,,[],[],[4],,,This sentence makes it seem as though 'free time' is independent of 'homework'
HW_LO_078,miti,yes,no,yes,The weekends should be utilized for free time,,free time should be especially limited so the pupil can put most of the focus on school work,[],[],[],,,
HW_LO_078,no-evi,no,no,no,,,,[],[],[],,,
HW_LO_078,no-need-address,no,no,no,,,,[],[],[],The weekends should be utilized for free time,,
HW_LO_078,reverse-c,no,no,no,,,,[],[],[],,,
HW_LO_078,trans1,no,no,no,,,,[],[],[],,,
HW_LO_078,trans2,no,no,yes,,,Obtaining a successful education,[],[],[],,,'promote' => 'make the best of'
HW_LO_078,x-pro-z,yes,yes,yes,obtaining an education,Obtaining a successful education,obtaining an education,[],[],[],,,
HW_LO_078,x-sup-z,no,no,no,,,,[],[],[],,,
HW_LO_078,y-pro-opposite-z,no,no,no,,,,[],[],[],,,
HW_LO_078,y-sup-same-z,no,no,yes,,,obtaining an education,[],[],[],,,
HW_LO_079,ack-c,no,no,yes,,,,[],[],"[3, 4]","Since the expression ""Most"" has scalar implicature, Yes is also possible",,"More free time if work suppressed. 'Like going to work, homework..' implies that homework is comparable to work, thus the CA implicitly acknowledges."
HW_LO_079,ano-z,no,no,yes,,, extracurricular activities,[],[],[],,,
HW_LO_079,deny-c,no,yes,yes,,,,[],[2],[2],,,
HW_LO_079,miti,no,no,yes,,,complete homework assignments,[],[],[],,,"The latter of the sentence implies that if you complete homework assignments, you'll actually have more free time to do ex. activities and get good sleep."
HW_LO_079,no-evi,no,no,no,,,,[],[],[],,,
HW_LO_079,no-need-address,yes,yes,yes,,,,[5],"[5, 6]",[6],,"Even in current situation, students still have enough free time to do extracurricular activities and go to bed at reasonable time","Free time is not the main issue. It's what students do during free time (i.e., how they suppress their free time) that is the bigger issue."
HW_LO_079,reverse-c,yes,no,no,,,,[7],[],[],,,
HW_LO_079,trans1,no,no,no,,,,[],[],[],,,
HW_LO_079,trans2,yes,yes,yes,smart time budgeting,smart time budgeting,smart time budgeting,[],[],[],,"It's not explicitly mentioned, but I think it kind of implies that ""smart time budgeting gives students more free time""",
HW_LO_079,x-pro-z,yes,yes,yes,smart time budgeting,smart time budgeting,smart time budgeting,[],[],[],,,
HW_LO_079,x-sup-z,no,no,no,,,,[],[],[],,,
HW_LO_079,y-pro-opposite-z,no,no,no,,,,[],[],[],,,I don't get the impression the CA is mentioning any bad Z. They are not being negative about ext. activities.
HW_LO_079,y-sup-same-z,no,no,no,,,,[],[],[],,,
HW_LO_087,ack-c,yes,yes,yes,,,,[4],[1],"[3, 4]",,"1 implies that if there's no HW, students will have free time","3 is providing things that take time which homework promotes, such as self-discipline, which would take up one's time, thus suppressing free time."
HW_LO_087,ano-z,no,no,yes,,,"instead of something potentially harmful (such as chatting with strangers online or experimenting with drugs), or at the least, something that is mostly a waste of time (such as playing video games or watching TV)",[],[],[],,,
HW_LO_087,deny-c,no,no,no,,,,[],[],[],,,
HW_LO_087,miti,no,no,no,,,,[],[],[],,,
HW_LO_087,no-evi,no,no,no,,,,[],[],[],,,
HW_LO_087,no-need-address,no,no,no,,,,[],[],[],,,
HW_LO_087,reverse-c,no,no,no,,,,[],[],[],,,
HW_LO_087,trans1,no,no,no,,,,[],[],[],,,
HW_LO_087,trans2,no,no,no,,,,[],[],[],,,
HW_LO_087,x-pro-z,yes,yes,yes,occupies the child's time with something useful -- education,chance to develop the good judgment and self-discipline needed to prioritize homework,education,[],[],[],,,
HW_LO_087,x-sup-z,no,yes,yes,,something potentially harmful,"something potentially harmful (such as chatting with strangers online or experimenting with drugs), or at the least, something that is mostly a waste of time (such as playing video games or watching TV)",[],[],[],No because it is the same perspective as free time,,
HW_LO_087,y-pro-opposite-z,yes,yes,yes,"chatting with strangers online or experimenting with drugs, playing video games or watching TV",something potentially harmful,"instead of something potentially harmful (such as chatting with strangers online or experimenting with drugs), or at the least, something that is mostly a waste of time (such as playing video games or watching TV",[],[],[],,,
HW_LO_087,y-sup-same-z,no,no,yes,,,kids,[],[],[],,,"Not confident on this Z. I get the impression that if students have free time, then they may do harmful things which would suppress them."
HW_LO_088,ack-c,yes,yes,yes,,,,[1],[1],[1],,,"If abolishing homework increases free time, then it implies that homework reduces free time."
HW_LO_088,ano-z,no,yes,yes,,Activities that they replace homework,Activities that they replace homework,[],[],[],,,
HW_LO_088,deny-c,no,no,no,,,,[],[],[],,,
HW_LO_088,miti,no,no,no,,,,[],[],[],,,
HW_LO_088,no-evi,no,no,no,,,,[],[],[],,,
HW_LO_088,no-need-address,no,no,no,,,,[],[],[],,,"I wanted to say free time is not a problem, but one sentence says 'creating the same issue of going to bed late' which implies that free time currently has some problems."
HW_LO_088,reverse-c,no,no,no,,,,[],[],[],,,
HW_LO_088,trans1,no,no,yes,,,eliminating their opportunity to learn a subject,[],[],[],,,
HW_LO_088,trans2,no,no,yes,,,learn a subject,[],[],[],,,
HW_LO_088,x-pro-z,no,yes,yes,,their opportunity to learn a subject,learn a subject,[],[],[],,,
HW_LO_088,x-sup-z,no,yes,yes,,eliminating their opportunity to learn a subject,eliminating their opportunity to learn a subject,[],[],[],,,
HW_LO_088,y-pro-opposite-z,yes,yes,yes,going to bed late,eliminating their opportunity to learn a subject,going to bed late,[],[],[],,,
HW_LO_088,y-sup-same-z,yes,yes,yes,opportunity to learn a subject,opportunity to learn a subject,get to bed at a decent time,[],[],[],,,
HW_LO_089,ack-c,yes,yes,yes,,,,[5],"[1, 2, 3, 4, 5]",[5],,"The CA kind of implies that HW along with other activities reduce free time, but students should prioritize HW over other activities. ",
HW_LO_089,ano-z,yes,yes,yes,playing video games or hanging out with friends at the mall,less meaningful activities,every possible activity,[],[],[],,,
HW_LO_089,deny-c,no,no,no,,,,[],[],[],,,
HW_LO_089,miti,yes,no,no,learn how to prioritize activities,,,[],[],[],,,
HW_LO_089,no-evi,no,no,no,,,,[],[],[],,,
HW_LO_089,no-need-address,no,no,yes,,,,[],[],[2],,,"I get the impression 2 means that 'busy schedule (i.e., less free time) is normal, even into adulthood. "
HW_LO_089,reverse-c,no,no,no,,,,[],[],[],,,
HW_LO_089,trans1,no,no,yes,,,video games or hanging out with friends at the mall,[],[],[],,,
HW_LO_089,trans2,no,no,no,,,,[],[],[],,,
HW_LO_089,x-pro-z,no,no,yes,,,student,[],[],[],,,Similar to previous question.
HW_LO_089,x-sup-z,no,no,yes,,,playing video games or hanging out with friends at the mall,[],[],[],,,Z=bad in comparison to homework (as it is part of education)
HW_LO_089,y-pro-opposite-z,no,no,yes,,,less meaningful activities,[],[],[],,,
HW_LO_089,y-sup-same-z,no,no,yes,,,student,[],[],[],,,"I get the impression that free time would be bad, as someone would play video games or hang out with friend at the mall, but homework could promote the student due to education."
HW_LO_098,ack-c,yes,yes,yes,,,,[5],[1],[1],Implicitly acknowledges,"HW takes time, thus if students start doing HW late, it will interfere with their sleep",Assuming 'sleep schedule' is part of 'free time'.
HW_LO_098,ano-z,yes,yes,yes,less important activities,other less important activities,procrastinates,[],[],[],,,
HW_LO_098,deny-c,no,no,no,,,,[],[],[],,,
HW_LO_098,miti,no,yes,no,,put important tasks first instead of putting them off until it's too late,,[],[],[],,,
HW_LO_098,no-evi,no,no,no,,,,[],[],[],,,
HW_LO_098,no-need-address,no,no,yes,,,,[],[],"[1, 2]",,,"Free time isn't the problem, the student procrastinating is."
HW_LO_098,reverse-c,no,no,no,,,,[],[],[],,,
HW_LO_098,trans1,no,yes,yes,,procrastinates,other less important activities,[],[],[],,"Current situation: procrastination suppresses free time (for sleep)
HW can teach us not to procrastinate according to the last sentence, thus HW suppress procrastination that suppress free time",
HW_LO_098,trans2,no,no,no,,,,[],[],[],,,
HW_LO_098,x-pro-z,yes,yes,yes,how to put important tasks first instead of putting them off until it's too late,an important life skill,important life skill,[],[],[],,,
HW_LO_098,x-sup-z,yes,yes,yes,risk getting fired,procrastinates,putting them off until it's too late,[],[],[],,The last sentence suggests that HW teaches us a lesson: not to procrastinate,
HW_LO_098,y-pro-opposite-z,no,no,yes,,,less important activities,[],[],[],,,
HW_LO_098,y-sup-same-z,no,no,yes,,,student's sleep schedule,[],[],[],,,
HW_LO_101,ack-c,no,no,no,,,,[],[],[],,CA's logic: abolishing HW doesn't promote active studying,
HW_LO_101,ano-z,no,no,yes,,,students are immature,[],[],[],,,
HW_LO_101,deny-c,no,no,yes,,,,[],[],[1],,,
HW_LO_101,miti,no,no,no,,,,[],[],[],,,
HW_LO_101,no-evi,no,no,no,,,,[],[],[],,,
HW_LO_101,no-need-address,no,no,no,,,,[],[],[],,,
HW_LO_101,reverse-c,no,no,no,,,,[],[],[],,,
HW_LO_101,trans1,no,no,no,,,,[],[],[],,,
HW_LO_101,trans2,no,no,no,,,,[],[],[],,,
HW_LO_101,x-pro-z,no,no,yes,,,self studying,[],[],[],,,
HW_LO_101,x-sup-z,yes,yes,yes,have school life without self studying,have school life without self studying,Playing a video game or going out with their friends,[],[],[],,,
HW_LO_101,y-pro-opposite-z,no,no,no,,,,[],[],[],,,
HW_LO_101,y-sup-same-z,no,no,no,,,,[],[],[],,,
HW_LO_107,ack-c,no,no,no,,,,[],[],[],Not mentioned,,
HW_LO_107,ano-z,no,no,no,,,,[],[],[],,,
HW_LO_107,deny-c,no,yes,no,,,,[],"[1, 2, 3, 4, 5]",[],,,The CA doesn't seem to be talking about passive in character. It mentions 'the ability to think about learning' which I assume means be more active..?
HW_LO_107,miti,no,no,no,,,,[],[],[],,,
HW_LO_107,no-evi,no,no,no,,,,[],[],[],,,
HW_LO_107,no-need-address,yes,no,no,,,,[1],[],[],,,
HW_LO_107,reverse-c,no,yes,no,,,,[],"[1, 2, 3, 4, 5]",[],,HW promotes the skills required to do active learning which suppresses being passive in character,
HW_LO_107,trans1,no,yes,no,,don't know what is necessary to review basic knowledge,,[],[],[],,"selected Z suppresses active learning, thus promoting being passive ",
HW_LO_107,trans2,no,yes,no,,establish basic understanding and foundation,,[],[],[],,selected Z promotes being active in learning thus suppresses being passive in character ,
HW_LO_107,x-pro-z,yes,yes,yes, establish basic understanding and foundation,establish basic understanding and foundation,ability to think about learning,[],[],[],,,
HW_LO_107,x-sup-z,no,yes,yes,,don't know what is necessary to review basic knowledge,don't know what is necessary to review,[],[],[],,,
HW_LO_107,y-pro-opposite-z,no,no,no,,,,[],[],[],,,
HW_LO_107,y-sup-same-z,no,no,no,,,,[],[],[],,,
HW_LO_115,ack-c,no,no,no,,,,[],[],[],,,
HW_LO_115,ano-z,yes,no,yes,do not have the capacity to consider on their own,,students prioritize other things over studying,[],[],[],,,
HW_LO_115,deny-c,yes,no,yes,,,,"[1, 2, 3]",[],"[2, 3, 7]",,abolishing HW doesn't make students active in character != HW makes students passive in character,
HW_LO_115,miti,no,no,no,,,,[],[],[],,,
HW_LO_115,no-evi,no,no,no,,,,[],[],[],,,
HW_LO_115,no-need-address,no,no,yes,,,,[],[],"[1, 2, 3, 4, 5, 6, 7]",,,"Homework already suppresses <Y>, so not a problem."
HW_LO_115,reverse-c,no,no,no,,,,[],[],[],,,
HW_LO_115,trans1,no,no,yes,,,many students prioritize other things over studying,[],[],[],,,
HW_LO_115,trans2,no,no,no,,,,[],[],[],,,CA really doesn't talk about homework promoting 'active in character' which is what I want to put for <Y>
HW_LO_115,x-pro-z,no,no,no,,,,[],[],[],,,
HW_LO_115,x-sup-z,yes,yes,yes,"play games, look at youtube with your smartphone",prioritize other things over studying,many students prioritize other things over studying,[],[],[],,,
HW_LO_115,y-pro-opposite-z,no,no,no,,,,[],[],[],,,
HW_LO_115,y-sup-same-z,no,no,no,,,,[],[],[],,,
HW_LO_123,ack-c,no,no,no,,,,[],[],[],,"CA's point is that abolishing HW doesn't promote students taking initiatives, but it doesn't talk about whether HW promotes passivity or not",
HW_LO_123,ano-z,no,no,yes,,,abolish homework,[],[],[],,,'Can we say that they're taking initiative?'
HW_LO_123,deny-c,yes,no,yes,,,,"[3, 6, 7]",[],"[1, 2]",,,
HW_LO_123,miti,no,no,no,,,,[],[],[],,,
HW_LO_123,no-evi,no,no,no,,,,[],[],[],,,
HW_LO_123,no-need-address,no,no,no,,,,[],[],[],,,
HW_LO_123,reverse-c,no,no,no,,,,[],[],[],,,
HW_LO_123,trans1,no,no,no,,,,[],[],[],,,
HW_LO_123,trans2,no,no,no,,,,[],[],[],,,
HW_LO_123,x-pro-z,no,no,no,,,,[],[],[],,,
HW_LO_123,x-sup-z,yes,no,yes,students will likely use that time for another thing which is fun for them,,likely use that time for another thing which is fun for them,[],[],[],,,
HW_LO_123,y-pro-opposite-z,no,no,no,,,,[],[],[],,,
HW_LO_123,y-sup-same-z,no,no,no,,,,[],[],[],,,
HW_LO_126,ack-c,no,yes,yes,,,,[],"[0, 1]","[1, 2, 3, 4]",,,
HW_LO_126,ano-z,no,no,no,,,,[],[],[],,,
HW_LO_126,deny-c,no,no,no,,,,[],[],[],,,
HW_LO_126,miti,no,no,no,,,,[],[],[],,,
HW_LO_126,no-evi,no,no,no,,,,[],[],[],,,
HW_LO_126,no-need-address,yes,yes,yes,,,,"[1, 4]","[1, 2, 3]",[1],,being passive in character is not a problem that needs any action to be taken,"""it is often passive"""
HW_LO_126,reverse-c,no,no,no,,,,[],[],[],,,
HW_LO_126,trans1,no,no,no,,,,[],[],[],,,
HW_LO_126,trans2,no,no,no,,,,[],[],[],,,
HW_LO_126,x-pro-z,no,no,no,,,,[],[],[],,,
HW_LO_126,x-sup-z,no,no,no,,,,[],[],[],,,'learn any of these abilities at school' seems too implicit to say the CA is referring to homework
HW_LO_126,y-pro-opposite-z,yes,yes,no,"the ability to do the job according to the deadline, quality",necessary ability at work,,[],[],[],,,
HW_LO_126,y-sup-same-z,yes,yes,no,a hard time at work,have a hard time at work,,[],[],[],,,
HW_LO_133,ack-c,no,yes,yes,,,,[],"[2, 3, 4]","[2, 4]",Not mentioned,it sounds like CA considers HW as the opposite of active learning which is passive learning,
HW_LO_133,ano-z,no,no,no,,,,[],[],[],,,
HW_LO_133,deny-c,no,no,no,,,,[],[],[],,,
HW_LO_133,miti,no,no,yes,,,Compulsory education,[],[],[],,,
HW_LO_133,no-evi,no,no,no,,,,[],[],[],,,
HW_LO_133,no-need-address,no,yes,yes,,,,[],"[1, 2, 3, 4]","[2, 4]",,"passive studying is not a problem that requires any action to be taken, it's actually a good thing that's neccessary for students' studying",Make it seem as though it's not a problem.
HW_LO_133,reverse-c,no,no,no,,,,[],[],[],,,
HW_LO_133,trans1,no,no,no,,,,[],[],[],,,
HW_LO_133,trans2,no,no,no,,,,[],[],[],,,
